CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
0.032026 819.691 1034.67 1212.22 1345.72 7270.04 3522.29 2994.84 2634.1 2398.4
0.032026 819.691 1034.67 1212.22 1345.72 7270.04 3522.29 2994.84 2634.1 2398.4
0.032026 819.691 1034.67 1212.22 1345.72 7270.04 3522.29 2994.84 2634.1 2398.4
0.0315208 806.857 1018.5 1193.32 1324.78 7260.87 3517.6 2990.76 2630.44 2395.02
0.0319327 817.321 1031.68 1208.72 1341.86 7268.36 3521.44 2994.1 2633.43 2397.78
0.0316556 810.284 1022.82 1198.37 1330.38 7266.93 3520.24 2992.94 2632.32 2396.69
0.0315636 807.948 1019.88 1194.93 1326.56 7266.19 3519.5 2992.21 2631.6 2395.99
0.0314434 804.891 1016.03 1190.42 1321.57 7265.55 3518.63 2991.33 2630.72 2395.11
0.0314055 803.927 1014.81 1189 1320 7265.14 3518.31 2991.03 2630.43 2394.83
0.0313473 802.443 1012.94 1186.82 1317.57 7264.21 3517.69 2990.45 2629.89 2394.32
0.0312631 800.294 1010.23 1183.64 1314.05 7261.66 3516.37 2989.31 2628.86 2393.37
0.031208 798.872 1008.43 1181.53 1311.7 7256.29 3514.37 2987.74 2627.58 2392.27
0.0311736 797.964 1007.28 1180.16 1310.17 7245.75 3511.06 2985.34 2625.78 2390.84
0.0310676 795.233 1003.82 1176.11 1305.66 7225.34 3505.33 2981.45 2623.07 2388.88
0.0307233 786.471 992.781 1163.19 1291.34 7195.61 3496.65 2975.39 2618.73 2385.61
0.0303303 776.519 980.259 1148.56 1275.14 7155.54 3482.34 2964.43 2609.99 2378.28
0.0305954 783.231 988.704 1158.43 1286.06 7182.63 3492.01 2971.84 2615.9 2383.23
0.030465 779.947 984.58 1153.61 1280.74 7164.5 3484.4 2965.66 2610.67 2378.63
0.0304346 779.204 983.655 1152.54 1279.57 7147.25 3476.06 2958.58 2604.47 2372.99
0.0304573 779.812 984.432 1153.46 1280.59 7122.21 3463.32 2947.64 2594.76 2364.09
