BDIR CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
25960 0.751516 4046.8 3290.35 3950.12 5632.21 39149.4 16014.3 18182.3 16267.1 12606.8
25953.6 0.751516 4046.8 3290.35 3950.12 5632.21 39149.4 16014.3 18182.3 16267.1 12606.8
25889.5 0.751516 4046.8 3290.35 3950.12 5632.21 39149.4 16014.3 18182.3 16267.1 12606.8
25257.4 0.751516 4046.8 3290.35 3950.12 5632.21 39149.4 16014.3 18182.3 16267.1 12606.8
24693.4 0.765538 4120.37 3350.53 4021.99 5733.11 39247.8 16142.2 18311.3 16395.2 12729.9
24955.6 0.782754 4212.23 3425.4 4111.69 5860.12 39285 16235.1 18403.2 16488 12821.2
25346.8 0.83137 4466.8 3633.64 4360.37 6209.36 39360 16006.3 18194.1 16261.3 12568.6
25087.9 0.799174 4298.27 3495.77 4195.74 5978.2 39310.7 16156.3 18331.2 16410 12734.1
25354.3 0.814056 4378.29 3560.87 4273.85 6089.3 39335.8 16185.6 18361.9 16439.5 12760
25730.7 0.839659 4515.83 3672.78 4408.12 6280.36 39338.7 16166.1 18345.4 16420.3 12735.6
25895.5 0.849509 4568.38 3715.59 4459.42 6353.18 39359.8 16164.1 18345.6 16418.6 12730
26361.6 0.871214 4682.44 3808.81 4570.84 6510.04 39384.8 16153.9 18338.4 16408.7 12715.4
27057.3 0.897856 4821.81 3922.83 4706.99 6701.2 39426.1 16167.8 18354.7 16422.9 12725.4
27742.7 0.922007 4948.63 4026.5 4830.86 6875.43 39469 16173.6 18363.1 16429 12728
28099.5 0.930426 4994.72 4063.85 4875.83 6940.09 39517.2 16187.8 18379.3 16443.4 12739.7
28315 0.93084 4999.09 4067.03 4880.04 6947.74 39568.6 16198.1 18391.7 16454 12748
28209.2 0.917178 4927.06 4008.16 4809.68 6848.86 39627.4 16197.2 18393.6 16453.3 12744.4
27874.4 0.896404 4814.24 3916.54 4699.57 6691.54 39679.2 16191.2 18390.2 16447.5 12736.1
27202.8 0.866121 4647.15 3781.34 4536.58 6456.53 39725.6 16129.9 18333.8 16386.8 12670.9
27566.9 0.882554 4737.76 3854.66 4624.96 6583.93 39700.3 16163.3 18364.5 16419.9 12706.4
