Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
14071.7 0.00115397 630.376 440.942 370.922 238.378 20503.7 12897.2 14477.3 15170.9 16701
14071.7 0.00115397 630.376 440.942 370.922 238.378 20503.7 12897.2 14477.3 15170.9 16701
14071.7 0.00115397 630.376 440.942 370.922 238.378 20503.7 12897.2 14477.3 15170.9 16701
14071.7 0.00115397 630.376 440.942 370.922 238.378 20503.7 12897.2 14477.3 15170.9 16701
14071.7 0.00115397 630.376 440.942 370.922 238.378 20503.7 12897.2 14477.3 15170.9 16701
14071.7 0.00115397 630.376 440.942 370.922 238.378 20503.7 12897.2 14477.3 15170.9 16701
17028.6 0.00142845 777.561 544.528 458.244 294.714 21039 13233.7 14855.1 15566.7 17136.8
21218.4 0.00179535 975.6 683.602 575.396 370.191 21858.5 13749 15433.3 16172.7 17803.7
17922.6 0.00150694 819.946 574.289 483.313 310.864 21228.9 13353.2 14989.1 15707.2 17291.3
17437.4 0.00145554 793.368 555.354 467.284 300.444 21466.5 13502.6 15156.8 15882.9 17484.8
18106.7 0.00152573 832.297 582.452 490.039 315.022 21700 13648.8 15321.1 16055.1 17674.5
19914.8 0.00171657 936.351 655.283 551.318 354.419 21988.8 13828.7 15523.4 16267.2 17908.4
18399.6 0.00159109 870.901 608.792 512 328.907 22202 13961 15672.4 16423.6 18081
18895.3 0.00166343 910.176 636.321 535.174 343.819 22325 14037.1 15758.2 16513.7 18180.5
19129.4 0.00172274 942.717 659.05 554.285 356.089 22552.5 14177.9 15916.9 16680.3 18364.5
18313.7 0.00166824 914.228 638.829 537.188 345.001 22776.6 14316.5 16073.2 16844.4 18545.8
17970.3 0.00168398 923.233 645.035 542.381 348.306 23052.4 14486.9 16265.5 17046.2 18768.8
18054.8 0.00177795 974.162 680.751 572.453 367.664 23469.7 14744.6 16556.2 17351.5 19106.1
17367.1 0.00177725 974.252 680.705 572.383 367.582 23877.1 14996.5 16840.5 17649.9 19435.7
16476 0.00178521 978.943 683.908 575.053 369.271 24438.5 15344 17232.4 18061.3 19890.1
16394.5 0.00190313 1042.32 728.476 612.614 393.492 25081.6 15743.3 17682.3 18533.4 20411.2
14677 0.0017818 977.784 682.935 574.188 368.659 25797.3 16190.6 18185.3 19061 20992.8
14599 0.00188349 1032.48 721.39 606.593 389.552 26468.6 16611.9 18658.5 19556.9 21539
14041.4 0.00194009 1063.24 742.946 624.737 401.225 27364.5 17177.7 19292.9 20221.4 22269.9
13839.8 0.00193495 1060.62 741.069 623.146 400.188 27584.6 17317.3 19449.2 20385.1 22449.8
13853.5 0.00198158 1085.73 758.713 638.013 409.771 27960.6 17556 19716.5 20664.8 22757.2
13615.2 0.00196697 1078.03 753.266 633.411 406.791 28229.8 17727 19907.9 20865.3 22977.4
13437.3 0.0019688 1079.1 753.999 634.023 407.179 28585 17952.5 20160.4 21129.6 23267.8
13383.9 0.00200117 1096.41 766.188 644.302 413.815 29071.4 18260.3 20505.3 21490.8 23665
13180 0.00198284 1086.55 759.259 638.463 410.049 29336.8 18427.8 20693.3 21687.7 23881.6
13221.7 0.00200642 1099.01 768.072 645.904 414.865 29721.5 18669.7 20964.9 21972.3 24195
13099.4 0.00198827 1089.23 761.2 640.115 411.134 29933.8 18802.9 21114.6 22129.3 24367.9
13092.7 0.00199218 1091.24 762.631 641.327 411.924 30292.5 19027.7 21367.2 22394.1 24659.7
13009.8 0.00198219 1085.86 758.854 638.144 409.871 30880.4 19396.1 21781.3 22828.3 25138.1
13192.6 0.00201181 1101.87 770.088 647.607 415.966 31740.1 19934.6 22386.7 23463 25837.4
13193 0.00199538 1093.42 764.059 642.5 412.643 32879.2 20648.5 23189 24304.2 26764.2
13429 0.00200514 1099.2 768 645.785 414.718 34383.9 21592.1 24249.3 25415.7 27988.7
