Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
25192.5 0.000977948 15.0439 50.9259 35.9962 30.3821 1005.3 768.917 516.034 593.286 630.376
25192.5 0.000977948 15.0439 50.9259 35.9962 30.3821 1005.3 768.917 516.034 593.286 630.376
25192.5 0.000977948 15.0439 50.9259 35.9962 30.3821 1005.3 768.917 516.034 593.286 630.376
25192.5 0.000977948 15.0439 50.9259 35.9962 30.3821 1005.3 768.917 516.034 593.286 630.376
25192.5 0.000977948 15.0439 50.9259 35.9962 30.3821 1005.3 768.917 516.034 593.286 630.376
25192.5 0.000977948 15.0439 50.9259 35.9962 30.3821 1005.3 768.917 516.034 593.286 630.376
25192.5 0.000977948 15.0439 50.9259 35.9962 30.3821 1005.3 768.917 516.034 593.286 630.376
25192.5 0.000977949 15.0439 50.9259 35.9962 30.3821 1005.3 768.917 516.034 593.286 630.376
103085 0.00391001 59.9798 201.607 142.935 120.776 1475.01 1133.62 767.894 879.778 933.435
193051 0.00294113 44.4277 143.948 103.622 88.0629 2071.04 1298.45 580.115 782.467 885.773
143950 0.00691226 104.605 339.396 244.32 207.587 1573.31 1159.53 731.431 860.297 922.835
387138 0.0213496 322.498 1041.19 751.147 638.709 1599.68 1172.37 734.047 865.776 929.77
238690 0.0123646 186.922 604.76 435.89 370.519 1586.35 1166.03 732.742 863.067 926.346
377809 0.0244269 367.189 1171.03 849.231 723.497 1607.3 1155.86 698.264 834.915 901.618
275876 0.0160364 241.912 778.406 562.361 478.433 1593.73 1162.41 720.482 853.057 917.554
209224 0.0142361 215.409 698.516 502.979 427.394 1650.03 1216.33 768.781 903.522 968.896
241316 0.0152031 229.67 741.703 535.015 454.909 1620.61 1188.12 743.488 877.103 942.021
176474 0.0123835 187.006 603.43 435.417 370.271 1654.79 1211.95 756.569 893.351 959.833
136097 0.0116178 175.416 565.86 408.352 347.272 1695.21 1240.7 773.475 913.773 981.98
102025 0.0128586 193.843 622.882 450.234 383.122 1739.64 1264.3 777.999 923.681 994.629
68770.4 0.0133644 201.527 648.14 468.304 398.444 1758.23 1277.55 786.051 933.278 1004.98
57635.1 0.0132672 200.09 643.806 465.077 395.671 1762.09 1279.85 786.907 934.548 1006.46
56852.9 0.0187981 283.994 917.547 661.693 562.581 1754.02 1283.68 801.665 946.416 1016.77
55566.4 0.0278073 421.605 1374.26 987.357 838.304 1701.3 1256.63 799.763 937.47 1004.21
