Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
5824.01 0.0973752 2430.94 1764.05 1503.86 772.094 7240.85 2283.82 3010.32 3373.28 4766.05
5830.15 0.0973752 2430.94 1764.05 1503.86 772.094 7240.85 2283.82 3010.32 3373.28 4766.05
5891.93 0.0973752 2430.94 1764.05 1503.86 772.094 7240.85 2283.82 3010.32 3373.28 4766.05
5933.8 0.0963141 2404.75 1744.97 1487.58 763.706 7229.38 2280.24 3005.8 3368.29 4759.04
5900.41 0.0971565 2425.54 1760.12 1500.51 770.365 7238.5 2283.09 3009.39 3372.26 4764.62
5877.1 0.0964553 2408.23 1747.51 1489.75 764.822 7235.56 2281.57 3007.77 3370.6 4762.7
5871.52 0.0962444 2403.02 1743.72 1486.51 763.155 7234.45 2280.89 3007.06 3369.87 4761.9
5860.46 0.095833 2392.83 1736.3 1480.18 759.9 7232.45 2279.79 3005.9 3368.69 4760.56
5856.36 0.0957206 2390.05 1734.28 1478.45 759.01 7231.76 2279.5 3005.58 3368.35 4760.14
5846.36 0.0954769 2384.01 1729.88 1474.7 757.081 7230.14 2278.99 3004.97 3367.69 4759.23
5836.61 0.0951851 2376.76 1724.61 1470.21 754.77 7226.95 2278.16 3003.89 3366.47 4757.43
5848.25 0.0951675 2376.24 1724.26 1469.91 754.624 7222.24 2277.36 3002.59 3364.91 4754.78
5862.19 0.0950949 2374.34 1722.9 1468.76 754.041 7211.63 2276.45 3000.46 3362.12 4749.31
5887.28 0.0949475 2370.62 1720.21 1466.47 752.869 7190.93 2275.69 2997.23 3357.55 4739.2
5913.18 0.0946976 2364.47 1715.73 1462.64 750.896 7163.08 2274.45 2992.66 3351.18 4725.43
5893.05 0.0940485 2348.63 1704.15 1452.75 745.782 7141.31 2271.88 2987.66 3344.9 4713.86
5864.29 0.0934298 2333.59 1693.15 1443.34 740.912 7121.47 2267.94 2981.58 3337.71 4702.26
5865.41 0.0933635 2332.28 1692.12 1442.43 740.417 7096.92 2260.04 2971.03 3325.85 4685.54
5864.77 0.093345 2332.04 1691.89 1442.23 740.29 7077.68 2252.92 2961.88 3315.71 4671.83
5892.28 0.0937136 2341.25 1698.57 1447.92 743.213 7051.97 2242.53 2948.78 3301.31 4652.83
5879.21 0.0935385 2336.87 1695.4 1445.22 741.824 7064.15 2247.45 2954.99 3308.13 4661.83
5888.92 0.0936362 2339.16 1697.09 1446.67 742.585 7048.41 2241.15 2947.11 3299.5 4650.45
5883.02 0.0935768 2337.77 1696.06 1445.79 742.122 7057.96 2244.97 2951.89 3304.73 4657.35
5883.92 0.09352 2336.14 1694.93 1444.83 741.654 7049.7 2242.05 2948.19 3300.65 4651.79
5883.45 0.0935486 2336.96 1695.5 1445.31 741.89 7053.89 2243.53 2950.06 3302.72 4654.61
5878.13 0.0934076 2333.29 1692.87 1443.08 740.758 7048.73 2241.99 2948.05 3300.48 4651.41
5864.23 0.0930841 2325.04 1686.92 1438.02 738.178 7042.43 2240.45 2945.98 3298.12 4647.83
5872.76 0.0932825 2330.1 1690.57 1441.13 739.76 7046.3 2241.39 2947.25 3299.57 4650.03
5865.54 0.0931183 2325.94 1687.57 1438.57 738.453 7044.11 2241.04 2946.72 3298.94 4648.95
5869.06 0.0931983 2327.97 1689.03 1439.82 739.09 7045.18 2241.21 2946.98 3299.25 4649.48
5867.38 0.0931613 2327.03 1688.35 1439.24 738.795 7044.63 2241.14 2946.88 3299.12 4649.24
5867.34 0.0931567 2326.9 1688.26 1439.16 738.758 7044.46 2241.12 2946.85 3299.09 4649.17
5867.59 0.0931547 2326.84 1688.22 1439.13 738.741 7044.3 2241.11 2946.83 3299.07 4649.13
5870.15 0.0931343 2326.19 1687.78 1438.76 738.568 7042.72 2240.95 2946.67 3298.88 4648.69
5876.04 0.0931103 2325.4 1687.26 1438.33 738.363 7040.82 2240.88 2946.61 3298.8 4648.28
5891.29 0.0931792 2326.93 1688.41 1439.33 738.893 7040.04 2241.33 2947.15 3299.36 4648.67
5902.81 0.0932132 2327.82 1689.05 1439.87 739.166 7042.62 2242.32 2948.35 3300.66 4650.38
5915.94 0.0931671 2326.93 1688.34 1439.25 738.822 7047.56 2242.88 2949.19 3301.67 4652.39
5938.25 0.093129 2326.49 1687.89 1438.83 738.561 7057.25 2243.16 2950.02 3302.88 4655.74
5954.03 0.0930448 2324.86 1686.59 1437.69 737.931 7064.55 2242.78 2949.99 3303.12 4657.69
5958.97 0.0929423 2322.43 1684.8 1436.15 737.129 7065.08 2242.43 2949.62 3302.75 4657.47
5955.38 0.0925733 2313.22 1678.11 1430.45 734.203 7061.69 2241.85 2948.81 3301.81 4655.88
5958.79 0.0921541 2302.64 1670.46 1423.93 730.869 7054.98 2240.57 2947.07 3299.82 4652.61
5966.45 0.0915997 2288.53 1660.29 1415.28 726.451 7042.13 2237.82 2943.43 3295.68 4646.04
5981.08 0.0908611 2269.62 1646.68 1403.71 720.556 7023.48 2234.29 2938.6 3290.1 4636.85
5969.88 0.0914198 2283.92 1656.97 1412.46 725.016 7037.61 2236.96 2942.27 3294.33 4643.82
5989.11 0.0913452 2281.91 1655.55 1411.26 724.411 7033.54 2236.37 2941.38 3293.27 4641.92
5971.76 0.0914125 2283.72 1656.83 1412.34 724.956 7037.2 2236.91 2942.18 3294.23 4643.63
5967.25 0.0912986 2280.88 1654.77 1410.59 724.053 7035.99 2236.69 2941.88 3293.88 4643.06
5970.87 0.09139 2283.16 1656.43 1412 724.778 7036.96 2236.86 2942.12 3294.16 4643.52
5970.1 0.0913777 2282.86 1656.2 1411.81 724.68 7036.79 2236.79 2942.04 3294.07 4643.41
5970.59 0.0913855 2283.05 1656.35 1411.93 724.742 7036.9 2236.84 2942.09 3294.13 4643.48
5970.78 0.0913845 2283.02 1656.33 1411.91 724.734 7036.84 2236.83 2942.08 3294.12 4643.45
5970.62 0.0913853 2283.05 1656.34 1411.93 724.741 7036.89 2236.84 2942.09 3294.13 4643.48
5970.59 0.0913842 2283.02 1656.32 1411.91 724.732 7036.89 2236.84 2942.09 3294.13 4643.48
5970.64 0.0913838 2283.01 1656.32 1411.9 724.729 7036.87 2236.84 2942.09 3294.12 4643.47
5971.11 0.0913798 2282.9 1656.24 1411.84 724.696 7036.69 2236.81 2942.05 3294.07 4643.38
5971.77 0.0913738 2282.74 1656.13 1411.74 724.648 7036.45 2236.79 2942.01 3294.02 4643.28
5978.37 0.0913145 2281.18 1655.01 1410.8 724.171 7034.06 2236.59 2941.62 3293.52 4642.25
5978.8 0.0910652 2274.9 1650.47 1406.93 722.19 7030.77 2236.02 2940.86 3292.64 4640.74
5980.92 0.0906926 2265.52 1643.68 1401.15 719.23 7025.85 2234.82 2939.4 3291.03 4638.31
5979.57 0.0909299 2271.5 1648.01 1404.83 721.115 7028.98 2235.58 2940.32 3292.06 4639.86
5981.01 0.0908329 2269.04 1646.23 1403.32 720.343 7027.27 2235.12 2939.77 3291.45 4638.97
5980.29 0.0908815 2270.27 1647.12 1404.08 720.73 7028.13 2235.35 2940.05 3291.75 4639.41
5982.44 0.0908496 2269.46 1646.54 1403.58 720.476 7027.39 2235.26 2939.9 3291.57 4639.07
5980.76 0.0908744 2270.09 1646.99 1403.97 720.674 7027.97 2235.33 2940.01 3291.71 4639.34
5981.11 0.0908594 2269.71 1646.72 1403.73 720.554 7027.58 2235.32 2939.98 3291.65 4639.19
5981.14 0.0908581 2269.68 1646.69 1403.71 720.544 7027.56 2235.32 2939.97 3291.65 4639.18
5981.34 0.0908454 2269.36 1646.46 1403.52 720.443 7027.34 2235.29 2939.93 3291.59 4639.08
5981.66 0.0908188 2268.68 1645.97 1403.1 720.231 7026.83 2235.14 2939.74 3291.39 4638.79
5981.1 0.0907072 2265.88 1643.94 1401.37 719.344 7026.43 2234.94 2939.58 3291.24 4638.64
5981.64 0.0908149 2268.58 1645.9 1403.04 720.199 7026.82 2235.13 2939.74 3291.39 4638.79
5981.71 0.0908149 2268.58 1645.9 1403.04 720.199 7026.78 2235.11 2939.71 3291.36 4638.76
5981.73 0.0908135 2268.55 1645.88 1403.02 720.189 7026.76 2235.11 2939.71 3291.36 4638.75
5981.94 0.0908002 2268.21 1645.63 1402.81 720.083 7026.54 2235.07 2939.66 3291.3 4638.65
5981.61 0.090751 2266.98 1644.74 1402.05 719.692 7026.01 2235.04 2939.6 3291.21 4638.45
5981.79 0.0907775 2267.64 1645.22 1402.46 719.903 7026.3 2235.06 2939.63 3291.26 4638.55
5981.77 0.0907666 2267.37 1645.02 1402.29 719.816 7026.29 2234.97 2939.55 3291.19 4638.51
5981.79 0.090777 2267.63 1645.21 1402.45 719.899 7026.3 2235.06 2939.63 3291.26 4638.55
5981.79 0.0907764 2267.61 1645.2 1402.44 719.894 7026.29 2235.06 2939.63 3291.26 4638.55
5981.8 0.0907754 2267.59 1645.18 1402.43 719.886 7026.27 2235.05 2939.62 3291.25 4638.54
5981.88 0.0907656 2267.34 1645 1402.28 719.808 7026.14 2235.03 2939.59 3291.22 4638.48
5982.65 0.0906672 2264.86 1643.21 1400.75 719.025 7024.8 2234.81 2939.3 3290.87 4637.89
5983.36 0.0905535 2261.99 1641.13 1398.98 718.121 7023.2 2234.56 2938.95 3290.47 4637.17
5983.33 0.0905495 2261.89 1641.06 1398.92 718.09 7023.12 2234.53 2938.91 3290.43 4637.12
5983.35 0.0905527 2261.97 1641.12 1398.97 718.115 7023.18 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.125 7023.2 2234.55 2938.94 3290.46 4637.16
5983.33 0.0905534 2261.98 1641.13 1398.98 718.12 7023.19 2234.56 2938.94 3290.46 4637.16
5983.32 0.0905541 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.31 0.0905545 2262.01 1641.15 1399 718.129 7023.2 2234.55 2938.94 3290.46 4637.16
5983.3 0.0905546 2262.02 1641.15 1399 718.13 7023.2 2234.55 2938.94 3290.46 4637.16
5983.31 0.0905544 2262.01 1641.15 1398.99 718.128 7023.2 2234.55 2938.94 3290.46 4637.16
5983.32 0.0905541 2262 1641.14 1398.99 718.126 7023.2 2234.55 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.125 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.33 0.090554 2262 1641.14 1398.99 718.125 7023.2 2234.57 2938.95 3290.47 4637.17
5983.31 0.0905541 2262 1641.14 1398.99 718.126 7023.2 2234.54 2938.92 3290.44 4637.15
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.55 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.31 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.38 0.0905549 2262.02 1641.16 1399 718.133 7023.27 2234.58 2938.97 3290.49 4637.21
5983.26 0.0905531 2261.98 1641.13 1398.97 718.119 7023.13 2234.53 2938.91 3290.42 4637.11
5983.32 0.0905541 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.31 0.090554 2262 1641.14 1398.99 718.125 7023.19 2234.55 2938.94 3290.45 4637.15
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
5983.32 0.090554 2262 1641.14 1398.99 718.126 7023.2 2234.56 2938.94 3290.46 4637.16
